Product ID;Référence;Quantit�s
8411;251070;2384
8410;251080;2383
8408;251110;5860
8407;251120;2863
8403;251060;2388
8401;251050;2905
8400;251040;2931
8399;251030;1401
8398;251020;1440
8397;250990;3145
8396;250980;1808
8395;251010;1870
8394;251000;1889
8393;250970;0
8389;239140;47
8387;226680;1802
8386;237010;240
8384;235310;1970
8383;235330;18
8381;235320;446
8380;163;1166
8379;162;2762
8378;161;832
8377;157;1560
8376;152;467
8375;173;0
8374;172;4974
8373;236980;114
8359;99301;425
8358;69942;2741
8357;71903;3367
8356;251380;2404
8355;241820;729
8354;63501;2020
8352;99302;572
8351;69941;6710
8350;742;63
8348;239730;16
8347;239880;12
8346;241210;19
8345;241200;19
8344;239720;4
8343;238120;0
8341;238090;15
8340;239870;28
8339;239750;13
8338;239740;17
8337;238110;7
8336;239830;27
8335;239780;11
8334;241330;28
8333;241190;26
8332;239770;4
8331;239860;6
8330;239800;9
8329;239840;13
8328;239760;5
8327;239790;6
8326;250570;49
8325;250770;47
8324;250560;39
8323;250670;24
8322;250660;23
8321;250640;58
8320;250590;33
8319;250680;57
8318;250820;30
8317;250550;47
8316;250580;58
8315;250830;12
8314;250760;23
8313;250530;23
8312;250750;49
8311;250700;44
8310;250610;26
8309;250710;24
8308;250600;28
8307;250540;29
8306;250790;25
8305;250520;44
8304;250650;13
8303;248670;27
8301;247280;142
8300;247270;57
8299;247230;429
8298;247220;29
8297;247210;367
8296;247200;660
8295;247170;265
8294;247160;453
8293;247150;487
8292;247140;0
8291;247130;145
8290;247120;55
8289;247110;800
8288;247100;55
8287;247090;608
8286;247080;1015
8285;247070;65
8283;247060;859
8282;247030;550
8281;247020;113
8280;247010;993
8279;247490;496
8277;247460;1120
8276;247260;50
8274;246980;73
8273;246970;219
8271;247000;2113
8270;247190;86
8269;247500;1388
8267;247540;1388
8265;247530;2038
8264;247480;435
8263;247300;1168
8262;247240;326
8260;247510;895
8257;247050;643
8256;247040;400
8255;246990;51
8252;246940;466
8251;246930;1022
8250;247560;902
8249;247470;1934
8248;247450;1315
8247;247420;873
8246;239810;15
8245;581400;36758
8244;161031;113
8243;161029;70
8241;161028;169
8240;151031;228
8238;151029;171
8237;151028;143
8235;141031;252
8234;131031;89
8233;141029;145
8230;141028;59
8229;131029;47
8227;131028;120
8226;69940;4250
8223;654;3090
8215;902560;9
8214;902550;9
8213;902540;17
8212;902530;18
8211;902520;19
8210;902510;18
8209;902500;18
8208;902490;19
8207;902480;18
8206;902470;19
8205;902460;71
8204;902450;46
8203;902440;79
8202;902430;82
8201;902420;71
8200;902410;11
8199;902400;80
8198;902390;137
8197;902380;101
8196;902370;20
8195;902360;96
8194;902350;108
8193;902340;76
8192;902330;79
8191;902320;30
8190;902310;64
8189;902300;65
8188;902290;77
8187;902280;72
8186;902270;186
8185;902260;63
8184;902250;0
8183;902240;66
8182;902230;8
8181;902220;87
8180;902210;40
8179;902200;15
8178;902190;45
8177;902180;64
8176;902170;51
8173;902140;59
8172;902130;86
8171;902120;247
8170;902110;184
8169;902100;298
8167;902080;207
8166;902070;114
8163;902040;112
8153;902000;42
8148;987;2788
8147;106;1814
8140;2403633;10
8139;2403632;8
8138;2403631;7
8137;2403629;4
8136;2403625;10
8134;2403623;0
8133;2403621;0
8132;2403620;10
8131;2403619;9
8130;2403618;10
8128;2403613;9
8127;2403612;7
8126;2403611;7
8125;2403610;9
8124;2403609;9
8122;2403608;6
8121;2403605;9
8118;2403604;7
8117;2403601;12
8116;2403600;5
8115;2403599;6
8114;2403598;6
8113;2403596;8
8112;2403594;10
8111;2403593;10
8110;2403592;10
8109;2403591;10
8108;2403590;9
8106;2403588;10
8105;2403586;8
8104;2403585;10
8101;2403584;10
8100;2403583;10
8099;2403582;4
8098;2403581;7
8097;2403580;10
8096;2362784;8
8095;2362767;9
8094;2362756;10
8093;2362755;0
8092;2362755;0
8091;2362755;0
8090;2362746;9
8089;2362739;7
8088;2362730;5
8087;2362727;5
8086;2362719;10
8084;2362713;10
8082;2362704;9
8081;2362698;8
8080;2362696;8
8079;2362694;9
8078;2362692;6
8076;2329053;10
8075;2329052;9
8074;2329051;7
8073;2329048;6
